season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99111936,Савельев Дмитрий Иванович,3,3,3,3,лдпр,1776,2
7,99111937,Сафин Марат Мубинович,1,2,2,1,единая россия,233,2
7,99111939,Свинцов Андрей Николаевич,3,2,2,3,лдпр,1776,2
7,99111945,Синельщиков Юрий Петрович,4,2,3,4,кпрф,1776,2
7,99111948,Старовойтов Александр Сергеевич,4,3,2,3,лдпр,1776,2
7,99111950,Сухарев Иван Константинович,4,2,2,3,лдпр,1776,2
7,99111951,Тайсаев Казбек Куцукович,3,1,2,2,кпрф,1776,2
7,99111961,Хайров Ринат Шамильевич,1,5,4,4,единая россия,1776,2
7,99111967,Чепа Алексей Васильевич,3,3,3,3,справедливая россия,1776,2
7,99111970,Чиркова Ирина Александровна,1,4,1,2,справедливая россия,299,2
7,99111977,Шрейдер Виктор Филиппович,1,4,2,3,единая россия,1776,2
7,99111981,Ющенко Александр Андреевич,3,1,2,2,кпрф,1776,2
7,99111987,Агаев Ваха Абуевич,1,1,2,1,кпрф,1449,2
7,99111988,Иванюженков Борис Викторович,1,3,1,2,кпрф,558,2
7,99111991,Гаджиев Мурад Станиславович,1,3,5,3,единая россия,1776,2
7,99111992,Умаханов Умахан Магомедгаджиевич,2,4,3,4,единая россия,1776,2
7,99112000,Селимханов Магомед Саламович,1,5,4,4,единая россия,1776,2
7,99112001,Саралиев Шамсаил Юнусович,1,5,2,3,единая россия,1776,2
7,99112003,Ремезков Александр Александрович,3,2,3,3,справедливая россия,1776,2
7,99112007,Тен Сергей Юрьевич,2,4,3,3,единая россия,1776,2
7,99112009,Федяев Павел Михайлович,3,4,3,4,единая россия,1776,2
7,99112010,Брыксин Александр Юрьевич,1,3,3,2,единая россия,1776,2
7,99112011,Кононов Владимир Михайлович,2,4,3,4,единая россия,1776,2
7,99112012,Василенко Александр Борисович,1,4,3,3,единая россия,1776,2
7,99112014,Есяков Сергей Яковлевич,2,5,3,4,единая россия,1776,2
7,99112015,Красов Андрей Леонидович,4,5,4,5,единая россия,1776,2
7,99112016,Исаев Михаил Александрович,1,5,3,4,единая россия,369,2
7,99112018,Карлов Георгий Александрович,1,4,4,4,единая россия,1776,2
7,99112021,Афонский Владимир Игорьевич,3,4,5,4,единая россия,1776,2
7,99112023,Валеев Эрнест Абдулович,4,5,4,5,единая россия,1776,2
7,99112025,Терешкова Валентина Владимировна,2,3,1,3,единая россия,1776,2
7,99112028,Завальный Павел Николаевич,4,5,2,4,единая россия,1776,2
7,99112031,Пинский Виктор Витальевич,4,5,4,4,единая россия,1775,2
7,99112032,Васильев Александр Николаевич,2,5,2,3,единая россия,1776,2
7,99112035,Ледков Григорий Петрович,1,4,3,3,единая россия,1442,2
7,99112037,Лебедев Олег Александрович,2,2,2,2,кпрф,1776,2
7,99112039,Максимов Василий Юрьевич,2,4,3,3,единая россия,1776,2
7,99112060,Кривенко Татьяна Олеговна,1,5,1,2,единая россия,1131,1
7,99112105,Огуль Леонид Анатольевич,1,5,4,4,единая россия,1776,2
7,99112120,Аскендеров Заур Асевович,1,5,3,3,единая россия,1776,2
7,99112121,Аршинова Алёна Игоревна,3,5,3,5,единая россия,1776,2
7,99112126,Тимофеева Ольга Викторовна,3,5,3,4,единая россия,1776,2
7,99112127,Казакова Ольга Михайловна,2,5,4,4,единая россия,1776,2
7,99112175,Иванов Валерий Викторович,3,5,5,5,единая россия,1776,2
7,99112236,Катасонов Сергей Михайлович,5,2,2,3,лдпр,1776,2
7,99112242,Пономарев Аркадий Николаевич,1,3,3,3,единая россия,1776,2
7,99112286,Меткин Александр Михайлович,1,3,1,1,единая россия,135,2
7,99112362,Белых Ирина Викторовна,4,5,4,5,единая россия,1776,2
7,99112430,Ганзя Вера Анатольевна,5,3,2,4,кпрф,1776,2
7,99112432,Коткин Сергей Николаевич,1,5,4,4,единая россия,1776,1
7,99112466,Гусева Ирина Михайловна,4,5,5,5,единая россия,1776,2
7,99112467,Гришин Евгений Анатольевич,1,5,1,3,единая россия,208,2
7,99112481,Шерин Александр Николаевич,5,3,2,4,лдпр,1776,2
7,99112483,Макиев Зураб Гайозович,1,5,3,3,единая россия,1776,2
7,99112485,Вострецов Сергей Алексеевич,4,5,3,4,единая россия,1776,2
7,99112511,Антошкин Николай Тимофеевич,1,5,3,3,единая россия,1565,2
7,99112513,Антонова Лидия Николаевна,1,4,3,3,единая россия,1776,1
7,99112535,Зайцев Максим Сергеевич,2,3,1,3,лдпр,691,1
7,99112564,Чернышов Борис Александрович,4,2,1,3,лдпр,1303,1
7,99112573,Ооржак Мерген Дадар-оолович,2,5,3,4,единая россия,1776,1
7,99112577,Солнцева Светлана Юрьевна,1,5,2,3,единая россия,1776,1
7,99112608,Говорин Николай Васильевич,3,5,5,5,единая россия,1776,2
7,99112642,Романенко Роман Юрьевич,2,5,4,4,единая россия,1776,2
7,99112649,Митина Елена Анатольевна,2,5,5,4,единая россия,1776,2
7,99112650,Туров Артём Викторович,2,4,3,3,единая россия,1776,2
7,99112652,Сысоев Владимир Владимирович,4,3,2,3,лдпр,888,2
7,99112685,Ситников Алексей Владимирович,1,5,4,4,единая россия,1776,2
7,99112696,Березин Никита Владимирович,2,2,1,2,лдпр,453,1
7,99112709,Жутенков Владимир Александрович,1,4,3,3,единая россия,247,1
7,99112710,Фролова Тамара Ивановна,2,5,4,5,единая россия,1776,1
7,99112711,Шаманов Владимир Анатольевич,3,3,4,4,единая россия,1776,1
7,99112712,Адучиев Батор Канурович,1,5,4,3,единая россия,1776,1
7,99112719,Альшевских Андрей Геннадьевич,4,5,4,5,единая россия,1776,1
7,99112721,Байгускаров Зариф Закирович,4,5,4,5,единая россия,1776,1
7,99112722,Балыбердин Алексей Владимирович,3,5,3,4,единая россия,1776,1
7,99112723,Бальбек Руслан Исмаилович,2,5,2,3,единая россия,1776,1
7,99112724,Барышев Андрей Викторович,1,2,1,2,единая россия,1776,1
7,99112725,Бахарев Константин Михайлович,3,5,3,4,единая россия,1776,1
7,99112726,Бахметьев Виталий Викторович,2,5,3,4,единая россия,1776,1
7,99112727,Белеков Иван Итулович,1,5,3,3,единая россия,1776,1
7,99112728,Белик Дмитрий Анатольевич,4,4,5,5,единая россия,1776,1
7,99112729,Березуцкий Юрий Николаевич,1,5,4,4,единая россия,1776,1
7,99112730,Беспалова Марина Павловна,2,4,4,3,единая россия,1776,1
7,99112731,Бидонько Сергей Юрьевич,1,5,2,3,единая россия,803,1
7,99112732,Бикбаев Ильдар Зинурович,3,5,2,4,единая россия,1776,1
7,99112734,Боева Наталья Дмитриевна,4,5,4,5,единая россия,1776,1
7,99112735,Бокк Владимир Владимирович,2,5,2,3,единая россия,1776,1
7,99112736,Бондаренко Елена Вениаминовна,1,5,3,3,единая россия,1776,1
7,99112737,Бондарь Оксана Андреевна,1,5,4,4,единая россия,1776,1
7,99112738,Боташев Расул Борисович,1,4,2,2,единая россия,1776,1
7,99112739,Боярский Сергей Михайлович,3,5,4,5,единая россия,1776,1
7,99112740,Брыкин Николай Гаврилович,4,4,3,4,единая россия,1776,1
7,99112741,Бузилов Валерий Викторович,1,5,5,4,единая россия,1776,1
7,99112742,Букачаков Родион Борисович,1,5,3,3,единая россия,1776,1
7,99112743,Бурнашов Алексей Леонидович,1,3,4,3,единая россия,1776,1
7,99112745,Веллер Алексей Борисович,3,5,2,3,единая россия,1776,1
7,99112746,Ветлужских Андрей Леонидович,2,5,3,4,единая россия,1776,1
7,99112747,Власов Василий Максимович,4,3,1,3,лдпр,1766,1
7,99112748,Воробьев Александр Васильевич,1,5,3,3,единая россия,1776,1
7,99112749,Воронина Татьяна Евгеньевна,2,5,3,4,единая россия,1776,1
7,99112750,Гадыльшин Мурад Асфандиарович,1,5,3,3,единая россия,1776,1
7,99112751,Газзаев Валерий Георгиевич,4,4,3,4,справедливая россия,1776,1
7,99112752,Ганиев Фарит Глюсович,2,5,2,4,единая россия,1776,1
7,99112753,Гетта Антон Александрович,3,5,5,5,единая россия,1776,1
7,99112754,Гладких Борис Михайлович,3,5,3,4,единая россия,1776,1
7,99112755,Гоголева Татьяна Степановна,1,5,2,3,единая россия,1776,1
7,99112756,Грищенко Олег Васильевич,1,4,2,3,единая россия,255,1
7,99112757,Гулевский Михаил Владимирович,2,5,4,4,единая россия,1776,1
7,99112758,Дамдинов Алдар Валерьевич,1,5,3,4,единая россия,1776,1
7,99112759,Дерябкин Виктор Ефимович,2,5,2,4,единая россия,1776,1
7,99112760,Дзюба Виктор Викторович,1,3,2,2,единая россия,1776,1
7,99112761,Дивинский Игорь Борисович,4,5,5,5,единая россия,1776,1
7,99112762,Драчев Владимир Петрович,1,5,2,3,единая россия,1776,1
7,99112763,Духанина Любовь Николаевна,2,5,3,4,единая россия,1776,1
7,99112764,Евланов Владимир Лазаревич,2,5,2,3,единая россия,1776,1
7,99112765,Евтушенко Ирина Дмитриевна,1,5,3,4,единая россия,343,1
7,99112766,Елыкомов Валерий Анатольевич,1,4,3,3,единая россия,1776,1
7,99112768,Загребин Алексей Егорович,2,5,4,4,единая россия,1776,1
7,99112769,Земцов Николай Георгиевич,2,5,2,3,единая россия,1776,1
7,99112770,Зобнев Виктор Викторович,2,4,2,3,единая россия,1776,1
7,99112771,Иванов Максим Анатольевич,3,5,4,4,единая россия,1776,1
7,99112772,Изотов Алексей Николаевич,4,5,3,5,единая россия,1776,1
