season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
6,99111101,Шишкин Александр Геннадьевич,1,5,1,2,единая россия,484,2
6,99111176,Золочевский Виталий Сергеевич,4,3,2,3,лдпр,1749,1
6,99111199,Гудков Дмитрий Геннадьевич,4,1,1,3,справедливая россия,1749,1
6,99111220,Кабанова Валентина Викторовна,1,5,3,3,единая россия,1749,2
6,99111338,Комоцкий Борис Олегович,1,3,1,2,кпрф,1749,1
6,99111396,Соколова Ирина Валерьевна,3,5,3,4,единая россия,1749,2
6,99111399,Кидяев Виктор Борисович,2,5,4,4,единая россия,1749,2
6,99111478,Михалев Борис Владимирович,2,5,3,4,единая россия,1749,2
6,99111543,Калашников Леонид Иванович,3,3,2,3,кпрф,1749,2
6,99111684,Деньгин Вадим Евгеньевич,4,3,3,4,лдпр,1749,1
6,99111695,Школкина Надежда Васильевна,3,5,3,4,единая россия,1749,2
6,99111733,Крупенников Владимир Александрович,2,5,3,4,единая россия,1749,2
6,99111772,Абалаков Александр Николаевич,4,4,2,4,кпрф,1749,1
6,99111774,Абрамов Иван Николаевич,3,3,1,3,лдпр,1749,1
6,99111775,Абубакиров Ришат Фазлутдинович,1,5,4,4,единая россия,1749,1
6,99111776,Авдеев Михаил Юрьевич,1,3,2,2,кпрф,1749,1
6,99111778,Алексеева Татьяна Олеговна,2,5,4,4,единая россия,1749,1
6,99111779,Алимова Ольга Николаевна,3,3,2,3,кпрф,1749,1
6,99111780,Ананских Игорь Александрович,3,3,3,3,лдпр,1749,1
6,99111785,Балашов Балаш Курбанмагомедович,3,5,4,5,единая россия,1749,1
6,99111786,Балберов Александр Александрович,1,3,1,2,лдпр,1002,1
6,99111787,Бариев Марат Мансурович,2,5,4,4,единая россия,1749,1
6,99111788,Баталина Ольга Юрьевна,4,5,4,5,единая россия,1749,1
6,99111789,Баталова Рима Акбердиновна,2,5,4,4,единая россия,1749,1
6,99111791,Белоусов Вадим Владимирович,1,5,3,3,единая россия,1749,1
6,99111793,Берулава Михаил Николаевич,1,3,2,3,кпрф,1749,1
6,99111794,Бессонов Владимир Иванович,5,3,2,4,кпрф,1749,1
6,99111795,Бифов Анатолий Жамалович,1,3,2,2,кпрф,1749,1
6,99111796,Бокова Людмила Николаевна,2,5,1,3,единая россия,125,1
6,99111798,Бортко Владимир Владимирович,3,3,1,3,кпрф,1749,1
6,99111800,Брячак Михаил Васильевич,3,4,2,3,справедливая россия,1749,1
6,99111801,Бурматов Владимир Владимирович,3,5,3,4,единая россия,1749,1
6,99111803,Вайнштейн Сергей Евгеньевич,1,3,2,2,лдпр,1749,1
6,99111804,Валуев Николай Сергеевич,2,5,3,4,единая россия,1749,1
6,99111805,Ванчугов Роман Анатольевич,1,4,1,2,справедливая россия,1749,1
6,99111807,Васильев Николай Иванович,1,3,3,3,кпрф,1749,1
6,99111808,Вороненков Денис Николаевич,3,3,2,3,кпрф,1749,1
6,99111809,Выборный Анатолий Борисович,3,5,5,5,единая россия,1749,1
6,99111811,Галимарданов Марсел Магфурович,1,5,4,4,единая россия,1749,1
6,99111812,Геккиев Заур Далхатович,2,5,3,4,единая россия,1749,1
6,99111814,Гончаров Виктор Иванович,2,3,2,3,кпрф,1749,1
6,99111816,Горовой Николай Иванович,1,5,4,4,единая россия,1749,1
6,99111817,Горовцов Дмитрий Евгеньевич,4,4,2,4,справедливая россия,1749,1
6,99111819,Губарева Наталья Викторовна,1,3,1,2,лдпр,357,1
6,99111820,Гутенев Владимир Владимирович,3,5,5,5,единая россия,1749,1
6,99111821,Дегтярев Александр Николаевич,3,5,3,4,единая россия,1015,1
6,99111822,Дегтярев Михаил Владимирович,5,3,3,4,лдпр,1749,1
6,99111823,Диденко Алексей Николаевич,5,3,2,4,лдпр,1748,1
6,99111824,Долгих Владимир Иванович,1,5,1,2,единая россия,643,1
6,99111825,Доронин Сергей Александрович,2,4,2,3,справедливая россия,1749,1
6,99111826,Дорофеев Сергей Борисович,3,5,4,4,единая россия,1749,1
